host_response_rate,host_acceptance_rate,host_listings_count,city,state,zipcode,latitude,longitude,accommodates,bedrooms,bathrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews
92%,10%,1,Washington,DC,20009,38.92302611,-77.03024779,6,2,2,2,$150.00,,$100.00,2,1125,0
N/A,N/A,1,Washington,DC,20010,38.93190563,-77.02684422,4,3,2.5,2,$150.00,$200.00,$70.00,4,1125,1
100%,67%,1,Washington,DC,20010,38.92775137,-77.03988946,3,1,1,1,$85.00,$100.00,,2,1125,7
92%,91%,26,Washington,DC,20010,38.93157313,-77.02949325,6,2,1,5,$175.00,$100.00,$100.00,1,1125,11
100%,100%,2,Washington,DC,20010,38.93193499,-77.031903,3,1,1,2,$70.00,,$10.00,2,1125,122
100%,95%,1,Washington,DC,20009,38.92388972,-77.02736646,4,1,1,2,$99.00,$150.00,$35.00,1,30,22
100%,100%,1,Washington,DC,20010,38.93654356,-77.03086554,5,2,2,2,$125.00,$300.00,$75.00,2,60,49
96%,88%,3,Washington,DC,20010,38.93027323,-77.02819158,2,1,1,1,$49.00,,,1,180,3
99%,89%,25,Washington,DC,20017,38.9311192,-76.98449689,5,1,1,2,$79.00,$350.00,$85.00,3,1125,5
100%,100%,1,Washington,DC,20017,38.92931038,-76.99032069,2,0,1,1,$99.00,$200.00,$30.00,2,1125,46
N/A,N/A,1,Washington,DC,20017,38.93504063,-76.98225247,2,1,1,1,$70.00,,,1,1125,0
100%,100%,1,Washington,DC,20018,38.92487316,-76.98250803,3,1,1,1,$101.00,$108.00,$25.00,1,30,4
100%,100%,1,Washington,DC,20018,38.92995477,-76.97385444,3,0,1,1,$99.00,,$25.00,2,14,45
100%,100%,1,Washington,DC,20018,38.92659358,-76.97658413,5,2,1,3,$119.00,,$50.00,2,21,78
99%,89%,25,Washington,DC,20017,38.9347919,-76.98359991,6,1,1,2,$100.00,$250.00,$75.00,3,1125,20
N/A,N/A,1,Washington,DC,20018,38.92417864,-76.99038836,6,3,3.5,3,"$1,400.00","$1,000.00",$200.00,2,5,0
100%,100%,4,Washington,DC,20017,38.92742916,-76.99205758,6,2,1,3,$175.00,$300.00,$150.00,4,365,0
80%,90%,3,Washington,DC,20018,38.93600676,-76.97673285,8,3,2.5,4,$220.00,,$40.00,1,1125,6
N/A,N/A,1,Washington,DC,20017,38.93402171,-76.98669751,1,1,1,1,$60.00,,,1,1125,0
94%,92%,1,Washington,DC,20017,38.93134112,-76.98944084,3,0,1,1,$91.00,$200.00,$40.00,2,1125,19
100%,60%,2,Washington,DC,20017,38.92726691,-76.98524151,4,2,1,2,$160.00,,$25.00,1,1125,0
100%,60%,2,Washington,DC,20017,38.92676896,-76.98558562,2,1,1,1,$110.00,,$25.00,1,1125,0
100%,67%,1,Washington,DC,20017,38.93242747,-76.9841767,3,1,1,2,$75.00,$200.00,$25.00,2,1125,29
100%,100%,1,Washington,DC,20017,38.93312319,-76.99043667,2,1,1,1,$65.00,,$20.00,2,1125,18
N/A,N/A,1,Washington,DC,20018,38.93376169,-76.97799439,2,1,1.5,1,$500.00,,,1,3,0
50%,80%,1,Washington,DC,20018,38.92098974,-76.99326874,2,1,1,1,$100.00,,$25.00,2,1125,5
76%,95%,3,Washington,DC,20017,38.93297932,-76.99004522,2,1,1,1,$79.00,,,1,1125,5
40%,N/A,1,Washington,DC,20018,38.93028974,-76.98050211,1,1,1.5,1,$80.00,,,1,1125,0
100%,100%,2,Washington,DC,20018,38.92038788,-76.98322399,2,1,1.5,1,$55.00,,,2,1125,0
94%,85%,4,Washington,DC,20018,38.91886701,-76.98391414,2,1,1,1,$65.00,,,2,1125,25
88%,100%,1,Washington,DC,20018,38.92985898,-76.98315368,3,1,1,2,$70.00,,$25.00,1,1125,2
100%,N/A,3,Washington,DC,20018,38.93328071,-76.98055389,2,1,1,1,$185.00,,,1,1125,0
N/A,N/A,1,Washington,DC,20018,38.91909783,-76.98576327,2,1,1,1,$75.00,,$50.00,2,1125,0
100%,100%,3,Washington,DC,20018,38.91879401,-76.97982411,2,1,2,2,$85.00,$95.00,$20.00,1,1125,3
100%,100%,3,Washington,DC,20018,38.92078057,-76.99429789,6,3,1,3,$130.00,$400.00,$90.00,2,365,41
N/A,N/A,1,Washington,DC,20017,38.92557752,-76.99127731,2,1,1,1,$84.00,,,2,14,7
100%,100%,2,Washington,DC,20018,38.9202077,-76.98318405,2,1,1.5,1,$45.00,,,2,1125,1
99%,89%,25,Washington,DC,20017,38.92769258,-76.98277011,9,4,2.5,6,$203.00,$500.00,$140.00,3,365,105
100%,92%,2,Washington,DC,20018,38.92217481,-76.98350919,6,2,2,2,$160.00,,$30.00,3,14,1
100%,N/A,3,Washington,DC,20018,38.93182902,-76.98257774,2,1,1,2,$120.00,,,1,1125,0
N/A,N/A,1,Washington,DC,20011,38.91898818,-76.98897132,6,6,3,6,$250.00,$500.00,,6,12,0
94%,85%,4,Washington,DC,20018,38.9189265,-76.98407678,2,1,1.5,1,$80.00,,,3,1125,0
57%,100%,1,Washington,DC,20018,38.92362301,-76.98946066,2,1,1,2,$60.00,,,2,1125,54
94%,85%,4,Washington,DC,20018,38.9182307,-76.98588384,6,3,1.5,3,$229.00,,$25.00,2,15,9
81%,97%,4,Washington,DC,20017,38.93446589,-76.98742439,2,1,1.5,1,$67.00,,,2,14,18
100%,100%,3,Washington,DC,20018,38.91966429,-76.98075251,2,0,1,1,$115.00,$100.00,$50.00,1,365,1
100%,82%,1,Washington,DC,20017,38.92702295,-76.99266546,4,1,1,2,$80.00,,$10.00,1,1125,1
N/A,N/A,1,Washington,DC,20017,38.93202664,-76.98998546,2,1,1,1,$250.00,$150.00,,1,1125,0
100%,100%,1,Washington,DC,20017,38.9274371,-76.98155701,2,1,1,1,$72.00,$100.00,$30.00,2,1125,23
N/A,N/A,1,Washington,DC,20018,38.93201529,-76.98106855,1,1,1,1,$175.00,,,1,1125,0
81%,97%,4,Washington,DC,20017,38.93438933,-76.98840096,2,1,1,1,$55.00,,,2,14,13
94%,85%,4,Washington,DC,20018,38.91980767,-76.98568876,2,1,1,1,$60.00,,,2,1125,19
100%,100%,3,Washington,DC,20018,38.92098059,-76.99374489,2,1,1,1,$65.00,$300.00,$60.00,2,1125,32
100%,N/A,1,Washington,DC,20017,38.93167272,-76.98486238,5,1,1,4,$105.00,,,2,1125,47
100%,100%,1,Washington,DC,20018,38.92142912,-76.98719743,3,0,1,2,$98.00,,,2,1125,12
100%,100%,1,Washington,DC,20017,38.93130057,-76.99334099,9,4,2.5,6,$155.00,$150.00,$50.00,1,1125,1
100%,100%,1,Washington,DC,20018,38.9271634,-76.97056251,4,1,1,1,$84.00,,$40.00,2,3,1
86%,87%,1,Washington,DC,20018,38.92655886,-76.96906423,4,1,1,2,$95.00,,$15.00,1,1125,54
92%,99%,23,Washington,DC,20017,38.93417382,-76.99070404,2,1,1,1,$89.00,,,1,1125,4
100%,100%,3,Washington,DC,20017,38.92537171,-76.98992727,2,0,1,1,$65.00,$200.00,$60.00,2,1125,14
100%,100%,2,Washington,DC,20017,38.93238772,-76.98784303,4,2,1.5,3,$200.00,$250.00,$100.00,3,14,5
100%,100%,1,Washington,DC,20017,38.93313824,-76.98841845,2,0,1,1,$100.00,$400.00,$40.00,2,1125,6
100%,N/A,1,Washington,DC,20017,38.93142996,-76.98831587,6,2,1,3,$225.00,$150.00,$25.00,1,30,0
N/A,N/A,1,Washington,DC,20018,38.92366208,-76.99226394,2,1,1,1,$45.00,,$100.00,1,1125,0
89%,N/A,1,Washington,DC,20018,38.92317852,-76.99355771,5,1,1,2,$125.00,$200.00,$50.00,2,1125,2
N/A,N/A,1,Washington,DC,20017,38.92864509,-76.99045706,12,4,3.5,7,$599.00,,,1,1125,0
92%,99%,23,Washington,DC,20017,38.93421562,-76.99089899,2,1,1,2,$89.00,,,1,1125,3
100%,N/A,1,Washington,DC,20017,38.93149401,-76.98397107,2,1,1,1,$120.00,$300.00,$40.00,3,14,0
N/A,100%,1,Washington,DC,20017,38.93244614,-76.98743861,10,4,4.5,4,$225.00,,$75.00,2,10,8
100%,96%,1,Washington,DC,20017,38.92895073,-76.99066461,4,1,1,2,$110.00,,$25.00,2,1125,39
100%,N/A,3,Washington,DC,20018,38.93362044,-76.98188894,2,1,1,1,$185.00,,,1,1125,0
100%,93%,1,Washington,DC,20018,38.92963501,-76.97976612,4,1,1,1,$105.00,,$75.00,2,1125,30
100%,92%,2,Washington,DC,20018,38.92238652,-76.98261693,2,1,1,1,$65.00,,,2,1125,57
80%,90%,3,Washington,DC,20018,38.93582685,-76.97502264,5,0,1,3,$80.00,,,1,1125,67
100%,100%,1,Washington,DC,20018,38.93620818,-76.96950074,2,1,1,1,$75.00,,,2,90,22
50%,100%,2,"Washington, D.C.",DC,20018,38.92904299,-76.95943881,1,1,1,1,$50.00,$500.00,$100.00,1,1125,2
100%,N/A,1,Washington,DC,20018,38.91949647,-76.95001409,5,3,2.5,3,$268.00,,$20.00,1,1125,1
50%,N/A,1,Washington,DC,20018,38.92400831,-76.95310831,3,1,1,1,$75.00,,$20.00,1,14,43
100%,100%,1,Washington,DC,20018,38.92137909,-76.9598763,10,4,4,7,$500.00,$500.00,,2,1125,0
100%,N/A,1,Washington,DC,20018,38.92846128,-76.95705078,1,1,1,1,$85.00,,,1,1125,3
80%,90%,3,Washington,DC,20018,38.93647183,-76.97659124,4,1,1,3,$68.00,,,1,1125,135
N/A,N/A,1,Washington,DC,20018,38.93602744,-76.97604872,5,3,2,3,$250.00,,,3,1125,0
100%,100%,1,Washington,DC,20018,38.93570347,-76.97210133,1,1,1.5,1,$43.00,,$20.00,3,21,1
100%,100%,1,Washington,DC,20018,38.93434143,-76.971717,4,0,1,2,$65.00,,$35.00,2,1125,1
100%,85%,1,Washington,DC,20018,38.94021078,-76.97544102,1,1,1,1,$49.00,,,1,30,6
100%,100%,2,Washington,DC,20018,38.93331553,-76.96466642,8,3,1,4,$125.00,$100.00,$120.00,2,1125,18
100%,100%,1,Mount Rainier,MD,20712,38.93808649,-76.97000923,4,1,1,2,$90.00,,$20.00,1,1125,46
N/A,N/A,1,Washington,DC,20018,38.93679886,-76.97525353,3,2,2.5,2,$90.00,,$135.00,3,1125,0
50%,100%,2,Washington,DC,20018,38.92691348,-76.95803491,1,1,1,1,$50.00,$500.00,$100.00,1,2000,2
100%,100%,2,Washington,DC,20007,38.92255215,-77.07660943,2,1,1,1,$130.00,,,1,1125,0
100%,100%,2,Washington,DC,20007,38.924115,-77.07473352,1,1,1,1,$104.00,,,1,1125,2
88%,100%,1,Washington,DC,20016,38.93269928,-77.07258138,4,1,1,1,$155.00,$500.00,$70.00,2,14,9
90%,100%,1,Washington,DC,20007,38.91750709,-77.07173888,2,1,1,1,$60.00,,$10.00,1,29,5
100%,N/A,1,Washington,DC,20007,38.92270336,-77.07663313,2,1,1,1,$89.00,"$1,300.00",$55.00,14,1125,2
70%,80%,1,Washington,DC,20007,38.92047277,-77.079521,5,2,1,2,$130.00,,,1,1125,13
75%,100%,2,Washington,DC,20007,38.9168216,-77.07060563,2,1,1,1,$55.00,,,2,1125,1
100%,100%,2,Washington,DC,20007,38.92622881,-77.07927677,4,1,2,1,$100.00,$300.00,$55.00,1,1125,1
100%,N/A,1,Washington,DC,20016,38.93519384,-77.07478135,4,1,2,2,$155.00,$500.00,$135.00,1,1125,0
100%,100%,2,Washington,DC,20007,38.92552233,-77.07325704,12,6,6,6,"$2,000.00",,,1,1125,0
N/A,N/A,1,Washington,DC,20016,38.92918034,-77.07698718,2,1,1,1,$125.00,,,2,1125,0
100%,95%,3,Washington,DC,20007,38.92717209,-77.07419716,4,1,1,3,$185.00,$200.00,$50.00,2,29,3
100%,95%,3,Washington,DC,20007,38.92881308,-77.07523539,5,1,1,2,$148.00,$200.00,$50.00,2,30,82
N/A,N/A,1,Washington,DC,20016,38.92985226,-77.07694775,2,0,1,1,$100.00,,$50.00,1,1125,6
100%,100%,1,Washington,DC,20016,38.93650176,-77.08295156,1,1,1,1,$40.00,,$20.00,1,1125,0
100%,100%,4,Washington,DC,20007,38.92699526,-77.07644551,3,1,1.5,1,$69.00,,$15.00,1,365,18
100%,95%,1,Washington,DC,20007,38.92313962,-77.07672291,6,1,2.5,4,$99.00,,$25.00,1,30,129
N/A,100%,1,Washington,DC,20007,38.92753934,-77.07208174,1,1,1,1,$50.00,,$25.00,1,1125,3
100%,N/A,2,Washington,DC,20007,38.92453674,-77.07482365,4,1,1,2,$175.00,,$15.00,2,365,5
80%,100%,2,Washington,DC,20007,38.91744049,-77.07308529,2,1,1,1,$150.00,,,1,1125,1
91%,69%,8,Washington,DC,20016,38.93380105,-77.07341304,2,1,1,1,$79.00,$100.00,$75.00,1,1125,3
N/A,N/A,1,Washington,DC,20016,38.93706691,-77.08332544,2,1,1,1,$900.00,,,1,1125,0
100%,N/A,2,Washington,DC,20007,38.9263008,-77.07465218,2,1,1,2,$65.00,,$25.00,3,134,3
N/A,N/A,1,Washington,DC,20016,38.9326637,-77.08159463,1,1,1.5,2,$150.00,,,1,1125,0
100%,100%,2,Washington,DC,20007,38.92596695,-77.07937006,8,2,2,3,$170.00,$300.00,$150.00,1,380,23
100%,100%,1,Washington,DC,20007,38.92147089,-77.08065993,2,1,1,1,$90.00,$100.00,,1,30,3
N/A,N/A,1,Washington,DC,20007,38.92249287,-77.08037859,1,1,1,1,$89.00,,$20.00,2,5,6
N/A,N/A,1,Washington ,DC,20016,38.93499344,-77.08443313,3,1,1,2,$35.00,,$5.00,1,1125,0
100%,61%,2,Washington,DC,20007,38.91959362,-77.07577512,2,1,1,1,$80.00,,$25.00,3,14,5
N/A,N/A,1,Washington,DC,20007,38.92092491,-77.07291765,2,1,1,1,$60.00,,,1,1125,2
100%,100%,2,Washington,DC,20016,38.93069758,-77.07401624,2,1,1,1,$69.00,$200.00,$40.00,6,28,7
90%,92%,2,Washington,DC,20016,38.93649132,-77.08300063,1,1,1,1,$50.00,$100.00,$35.00,2,1125,5
100%,86%,1,Washington,DC,20007,38.92269276,-77.07718819,3,1,1,1,$57.00,,$20.00,1,5,1
100%,100%,1,Washington,DC,20007,38.92042893,-77.07360951,2,0,1,1,$139.00,,$25.00,2,5,12
100%,0%,1,Washington,DC,20016,38.93088169,-77.07984195,2,1,2,2,$100.00,,,1,1125,0
N/A,N/A,1,Washington,DC,20007,38.91695205,-77.06972495,2,0,1,2,$80.00,,,1,1125,0
80%,45%,1,Washington,DC,20007,38.91998293,-77.08158976,2,1,1,1,$90.00,$350.00,,2,14,4
100%,100%,1,Washington,DC,20016,38.93340109,-77.08022751,4,0,1,2,$95.00,$100.00,$60.00,1,1125,32
100%,100%,4,Washington,DC,20007,38.92827751,-77.07638063,6,1,1,4,$113.00,,$75.00,1,365,237
67%,N/A,1,Washington,DC,20007,38.92387646,-77.07585405,1,1,1,1,$80.00,,,1,1125,0
100%,100%,2,Washington,DC,20007,38.9236774,-77.07329806,5,1,2,2,$450.00,,$50.00,1,1125,0
100%,100%,1,Washington,DC,20007,38.92375348,-77.0799363,2,1,1,1,$100.00,,,1,1125,1
50%,N/A,1,Washington,DC,20007,38.92239944,-77.07787796,4,1,1,1,$115.00,$100.00,$100.00,1,7,8
100%,100%,4,Washington,DC,20007,38.92743626,-77.07495926,2,1,1.5,1,$69.00,,$15.00,1,365,8
N/A,N/A,1,Washington,DC,20007,38.92693251,-77.07789669,3,1,1,1,$80.00,,,1,120,0
N/A,N/A,1,Washington,DC,20016,38.93746425,-77.07424838,3,1,1,3,$120.00,,,7,1125,2
100%,100%,4,Washington,DC,20007,38.92708064,-77.0767997,3,1,1.5,1,$69.00,,$15.00,1,365,43
78%,100%,1,Washington,DC,20016,38.93285773,-77.07787182,3,1,1,2,$99.00,,,10,60,7
N/A,N/A,1,Washington,DC,20007,38.92196859,-77.08032804,4,1,1,1,$95.00,,,7,30,13
100%,100%,1,Washington,DC,20007,38.9240888,-77.07411459,2,0,1,2,$68.00,$100.00,$50.00,7,1125,0
100%,86%,2,Washington,DC,20007,38.92512103,-77.07313753,4,1,1,2,$100.00,,,3,1125,1
100%,0%,1,Washington,DC,20016,38.93717341,-77.07479629,2,1,1,1,$140.00,,$72.00,3,10,1
88%,100%,1,Washington,DC,20016,38.93221255,-77.07280198,4,2,2.5,3,$170.00,$400.00,$100.00,3,9,1
90%,100%,1,Washington,DC,20016,38.93303625,-77.07319371,3,1,1,1,$105.00,$100.00,$50.00,1,1125,7
100%,0%,1,Washington,DC,20007,38.92263852,-77.07977151,2,1,1,1,$67.00,$100.00,,2,1125,0
N/A,N/A,1,Washington,DC,20007,38.91917343,-77.07170668,7,3,1,4,$400.00,$200.00,$50.00,1,25,0
100%,75%,1,Washington,DC,20007,38.92329213,-77.07276294,3,0,1,1,$75.00,,$5.00,1,4,2
80%,100%,2,Washington,DC,20007,38.91909844,-77.07193955,2,1,1,1,$150.00,,$30.00,1,1125,0
98%,94%,41,Washington,DC,20016,38.93734482,-77.08458593,2,0,1,1,$110.00,$300.00,$95.00,3,1125,0
100%,61%,2,Washington,DC,20007,38.91957994,-77.07513542,5,3,2,3,$150.00,,$50.00,2,10,2
50%,100%,1,Washington,DC,20016,38.93433012,-77.0735671,3,0,1,1,$64.00,,$25.00,4,1125,1
17%,N/A,1,Washington,DC,20007,38.92269462,-77.07326898,2,0,1,1,$200.00,$95.00,,3,60,2
67%,100%,1,Washington,DC,20007,38.92338452,-77.07485412,2,0,1,1,$70.00,$250.00,$50.00,1,1125,2
N/A,N/A,1,Washington,DC,20016,38.93716938,-77.0742386,1,1,1,1,$80.00,$450.00,$70.00,1,300,0
100%,100%,1,Washington,DC,20008,38.93773646,-77.05555854,2,0,1,1,$97.00,,$25.00,1,1125,1
91%,78%,3,Washington,DC,20008,38.92681914,-77.05224504,2,1,1,1,$125.00,$300.00,$75.00,1,1125,0
100%,100%,1,Washington,DC,20008,38.92547805,-77.05153925,9,4,2.5,5,$400.00,$300.00,$220.00,2,1125,28
100%,100%,1,Washington,DC,20008,38.93823846,-77.06100926,1,0,1,1,$54.00,,,1,1125,0
100%,79%,2,"Washington, D.C.",DC,20008,38.92279845,-77.05407149,1,1,1,1,$75.00,$150.00,$10.00,1,1125,26
100%,100%,2,Washington,DC,20008,38.93440386,-77.05799729,2,0,1,1,$99.00,,,1,30,118
91%,78%,3,Washington,DC,20008,38.92543895,-77.05265604,1,1,1,1,$70.00,$150.00,,1,1125,3
100%,100%,2,Washington,DC,20008,38.92671365,-77.05662227,2,1,1,1,$75.00,$200.00,$50.00,2,5,0
100%,50%,1,Washington,DC,20016,38.93440209,-77.06794659,2,1,1,1,$140.00,,,1,1125,9
100%,100%,1,Washington,DC,20008,38.92401259,-77.05853551,2,0,1,1,$160.00,$200.00,$65.00,2,28,44
100%,100%,1,Washington,DC,20016,38.9299135,-77.07269,3,1,1,1,$139.00,$600.00,$65.00,1,30,0
90%,100%,1,Washington,DC,20008,38.93445189,-77.05643661,4,0,1,1,$95.00,,$75.00,1,1125,1
100%,100%,1,Washington,DC,20008,38.93445773,-77.05526684,4,1,1,1,$115.00,$500.00,$35.00,2,1125,4
100%,N/A,1,Washington,DC,20008,38.93526906,-77.05593536,2,1,1,1,$95.00,$200.00,$35.00,2,1125,0
N/A,N/A,1,Washington,DC,20007,38.92703781,-77.0709307,6,3,3,3,$500.00,,,1,1125,0
70%,100%,1,Washington,DC,20016,38.92970074,-77.07293991,3,1,1,1,$95.00,$250.00,$15.00,1,4,0
100%,100%,1,Washington,DC,20008,38.92258733,-77.0553984,5,2,1,2,$175.00,,$50.00,1,1125,0
100%,100%,2,Washington,DC,20008,38.92606938,-77.05396449,2,0,1,1,$99.00,,,2,30,38
90%,100%,1,Washington,DC,20008,38.93301053,-77.05721983,2,0,1,1,$85.00,,,1,1125,45
100%,100%,1,Washington,DC,20008,38.93651836,-77.06234963,2,1,1,1,$115.00,"$2,250.00",$300.00,1,1125,0
100%,100%,3,Washington,DC,20008,38.93797758,-77.06740929,6,3,1.5,3,$435.00,"$2,000.00",$165.00,3,1125,6
N/A,N/A,1,Washington,DC,20016,38.93576556,-77.07259698,2,1,1,1,$125.00,$150.00,$75.00,2,1125,0
100%,100%,1,Washington,DC,20008,38.93712527,-77.0638236,4,1,1,2,$98.00,$350.00,$49.00,1,1125,8
100%,67%,1,Washington,DC,20008,38.93660322,-77.06293422,4,1,1,2,$119.00,,,14,21,1
33%,N/A,1,Washington,DC,20008,38.92530874,-77.05663282,2,1,1,1,$80.00,$200.00,,1,3,0
90%,73%,2,Washington,DC,20008,38.93148695,-77.05581911,2,1,1,1,$90.00,$250.00,$25.00,3,10,7
100%,100%,1,Washington,DC,20008,38.93681005,-77.05627029,2,1,1,1,$149.00,$200.00,$35.00,3,1125,24
100%,79%,2,Washington,DC,20008,38.92275435,-77.05257831,3,0,1,2,$105.00,,,1,1125,1
67%,100%,1,Washington,DC,20008,38.93765848,-77.06001951,2,1,1,1,$125.00,$125.00,$15.00,1,1125,0
100%,92%,2,Washington,DC,20008,38.93487106,-77.05934702,3,1,1,2,$50.00,$300.00,$19.00,1,1125,2
100%,100%,1,Washington,DC,20008,38.92772151,-77.0572763,1,1,1,1,$99.00,,$30.00,2,1125,26
40%,50%,1,Washington,DC,20008,38.93053321,-77.05919631,2,0,1,1,$70.00,,$45.00,2,20,0
N/A,N/A,1,Washington,DC,20016,38.94183841,-77.07542897,2,1,1,1,$120.00,,,1,1125,0
100%,92%,2,Washington,DC,20008,38.93436778,-77.05907984,4,1,1,2,$99.00,$300.00,$15.00,1,1125,2
100%,94%,7,Washington,DC,20008,38.92887334,-77.05509164,4,1,1,2,$185.00,,,20,650,0
100%,100%,2,Washington,DC,20008,38.92654255,-77.06103357,6,1,1,3,$150.00,,$50.00,2,1125,66
86%,75%,1,"Washington, D.C.",DC,20008,38.93601263,-77.05525311,2,1,1,1,$150.00,,,1,1125,2
N/A,N/A,1,Washington,DC,20008,38.92843305,-77.05723928,1,1,1,1,$96.00,,,4,7,0
100%,0%,1,Washington,DC,20008,38.92631242,-77.05476697,2,1,1,1,$79.00,$200.00,$35.00,1,1125,0
N/A,N/A,1,"Washington, D.C.",DC,20008,38.93638891,-77.06067539,2,0,1,1,$150.00,,,3,365,0
100%,N/A,1,Washington,DC,20008,38.9265511,-77.05431171,4,1,1,1,$109.00,,,1,1125,0
N/A,N/A,2,Washington,DC,20008,38.92313107,-77.05176678,2,0,1,1,$100.00,,$25.00,1,1125,0
N/A,N/A,1,Washington,DC,20008,38.92972782,-77.0550637,3,1,1,1,$120.00,,,3,14,2
N/A,N/A,2,Washington,DC,20008,38.92449664,-77.05081363,2,0,1,1,$100.00,,$25.00,1,1125,0
90%,67%,2,Washington,DC,20008,38.92694266,-77.05309831,2,1,1,1,$150.00,,,2,1125,8
90%,33%,1,Washington,DC,20008,38.92553223,-77.05472249,2,0,1,1,$115.00,,,1,1125,3
67%,100%,1,Washington,DC,20008,38.92628516,-77.05435027,2,1,1,1,$200.00,,,2,6,12
90%,100%,1,Washington,DC,20008,38.93460206,-77.05279721,2,1,1,1,$95.00,,$50.00,2,1125,4
100%,25%,1,Washington,DC,20008,38.92859324,-77.05628785,2,1,1,1,$205.00,$250.00,$85.00,1,10,13
73%,100%,1,Washington,DC,20008,38.92646362,-77.05189289,2,1,1,1,$100.00,,$20.00,3,1125,8
100%,100%,1,Washington,DC,20008,38.92851255,-77.05344935,2,0,1,1,$99.00,,$25.00,1,5,1
100%,78%,1,Washington,DC,20008,38.92773026,-77.05716057,4,1,1,1,$104.00,$150.00,$45.00,1,1125,4
50%,100%,1,Washington,DC,20008,38.93469603,-77.06177889,2,1,1,1,$89.00,,$25.00,2,23,4
50%,100%,1,Washington,DC,20016,38.92933588,-77.07227991,3,1,1,1,$125.00,,$25.00,1,1125,8
100%,100%,3,Washington,DC,20008,38.93839942,-77.06676024,4,1,1,2,$115.00,,$120.00,3,1125,7
90%,73%,2,Washington,DC,20008,38.93134348,-77.05755083,4,2,1,2,$185.00,$500.00,$25.00,2,1125,1
60%,60%,1,Washington,DC,20007,38.93731291,-77.06609266,2,1,1,1,$85.00,$100.00,$50.00,3,1125,1
92%,89%,1,Washington,DC,20008,38.9350667,-77.05663004,2,0,1,1,$99.00,,,1,1125,16
56%,67%,1,Washington,DC,20016,38.93521753,-77.07103726,2,1,1,1,$125.00,,,3,1125,11
100%,N/A,1,Washington,DC,20008,38.93397582,-77.05694915,2,1,1,1,$66.00,$100.00,$10.00,1,1125,33
100%,100%,1,Washington,DC,20008,38.92680135,-77.05160573,3,2,2,2,$150.00,,$80.00,3,1125,4
100%,75%,1,Washington,DC,20003,38.88062875,-76.98504785,5,1,1,1,$69.00,$100.00,,1,1125,0
79%,76%,2,Washington,DC,20003,38.88078948,-76.98767665,5,2,1,3,$250.00,$200.00,$40.00,1,1125,15
92%,94%,30,Washington,DC,20003,38.8877609,-76.99031205,6,2,2.5,3,$350.00,,$150.00,3,999,14
100%,72%,7,Washington,DC,20003,38.88617196,-76.98784634,6,3,2.5,3,$440.00,"$1,000.00",$180.00,2,60,20
70%,77%,1,Washington,DC,20003,38.88506023,-77.00338731,2,0,1,1,$100.00,,$25.00,3,1125,2
99%,96%,32,Washington,DC,20002,38.8918434,-77.00026014,2,1,1,2,$169.00,$200.00,$75.00,4,40,4
100%,100%,2,Washington,DC,20003,38.88663841,-77.00192604,2,1,1,1,$120.00,,,1,1125,0
90%,100%,1,Washington,DC,20003,38.8857953,-76.99853731,4,1,1,2,$190.00,$500.00,$60.00,2,1125,31
94%,100%,1,Washington,DC,20003,38.88272579,-76.99524396,4,1,1,1,$120.00,,$30.00,1,1125,88
80%,75%,3,Washington,DC,20003,38.88647344,-76.99423171,1,1,1,1,$85.00,$100.00,,1,1125,17
98%,52%,49,Washington,DC,20003,38.88711788,-76.99812969,2,1,1,1,$170.00,,,2,14,0
100%,95%,5,Washington,DC,20003,38.88662525,-76.99002715,6,2,2,3,$250.00,$100.00,$100.00,2,1125,0
75%,75%,5,Washington,DC,20003,38.88656568,-77.00171301,2,1,2,1,$129.00,$129.00,$50.00,1,326,0
100%,100%,1,Washington,DC,20003,38.88975499,-76.98115583,10,3,1,5,$289.00,$300.00,$149.00,2,1125,17
100%,100%,1,Washington,DC,20003,38.88417279,-76.98112977,2,1,1,1,$75.00,,$10.00,1,90,95
90%,83%,2,Washington,DC,20003,38.88779355,-76.98263772,8,3,1.5,4,$250.00,,$100.00,2,1125,1
N/A,N/A,1,Washington,DC,20003,38.88789687,-76.98690465,3,2,2,2,$159.00,$250.00,$120.00,5,1125,2
100%,89%,1,Washington,DC,20002,38.89162678,-76.99081697,4,2,1,3,$165.00,$250.00,$90.00,2,30,14
N/A,N/A,1,Washington,DC,20003,38.87898312,-76.99264492,4,2,1,2,$205.00,$200.00,$60.00,1,1125,0
100%,74%,2,Washington,DC,20002,38.89031131,-76.99572611,1,1,1.5,1,$65.00,,,1,1125,3
100%,100%,2,Washington,DC,20003,38.88170393,-76.98696223,1,1,0,1,$58.00,$500.00,$35.00,3,180,7
90%,100%,1,Washington,DC,20003,38.88249223,-76.99172157,4,1,1,1,$150.00,$500.00,$75.00,3,10,44
79%,76%,2,Washington,DC,20003,38.88322242,-76.98912035,2,1,1,1,$100.00,,$30.00,1,1125,17
100%,N/A,1,Washington,DC,20003,38.88752734,-76.99452842,2,1,1,1,$140.00,$500.00,$80.00,3,730,5
83%,97%,1,Washington,DC,20003,38.88719899,-76.99141912,2,0,1,1,$60.00,,$15.00,1,1125,4
89%,57%,2,Washington,DC,20003,38.88905125,-76.99116179,2,1,1,1,$80.00,,$10.00,1,1125,1
100%,100%,1,Washington,DC,20003,38.88174786,-76.98811115,2,1,1,1,$109.00,,,1,5,7
